"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3891","Deleting all requests","firefox","Wed Feb 25 07:00:26 UTC 2026","passed","Wed Feb 25 07:00:30 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1709","Sign In","firefox","Wed Feb 25 07:00:25 UTC 2026","passed","Wed Feb 25 07:00:26 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4815","Creating new task with amount","webkit","Wed Feb 25 07:00:33 UTC 2026","passed","Wed Feb 25 07:00:38 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4325","Vacation request - approve-button","webkit","Wed Feb 25 07:00:34 UTC 2026","passed","Wed Feb 25 07:00:39 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1862","Reset Password","webkit","Wed Feb 25 07:00:50 UTC 2026","passed","Wed Feb 25 07:00:52 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","7449","Creating new task with free amount","chromium","Wed Feb 25 07:00:03 UTC 2026","passed","Wed Feb 25 07:00:10 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","16266","Creating new task with free amount","webkit","Wed Feb 25 07:00:16 UTC 2026","passed","Wed Feb 25 07:00:32 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1757","Deleting all requests","chromium","Wed Feb 25 07:00:23 UTC 2026","passed","Wed Feb 25 07:00:25 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2813","Validation creating task","webkit","Wed Feb 25 07:00:38 UTC 2026","passed","Wed Feb 25 07:00:41 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","4912","Moving tasks to next month free and paid type","chromium","Wed Feb 25 07:00:17 UTC 2026","passed","Wed Feb 25 07:00:22 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","2279","Validation creating task","chromium","Wed Feb 25 07:00:15 UTC 2026","passed","Wed Feb 25 07:00:17 UTC 2026","@E2E Checklist","integration/checklist/checklist.spec.ts","",""
"","1225","Invalid data","webkit","Wed Feb 25 07:00:52 UTC 2026","passed","Wed Feb 25 07:00:54 UTC 2026","@smoke Registration and checking cases","integration/registration/registration.spec.ts","",""
"","3907","Vacation request - reject-button","chromium","Wed Feb 25 07:00:17 UTC 2026","passed","Wed Feb 25 07:00:21 UTC 2026","@smoke Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
