"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1861","Deleting all requests","","Mon Dec 08 19:05:44 UTC 2025","passed","Mon Dec 08 19:05:46 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4519","Sick Leave request - reject-button","","Mon Dec 08 19:05:33 UTC 2025","passed","Mon Dec 08 19:05:37 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","2657","Validation creating task","","Mon Dec 08 19:05:32 UTC 2025","passed","Mon Dec 08 19:05:35 UTC 2025","Checklist","integration/checklist/checklist.spec.ts","",""
"","1420","Invalid data","","Mon Dec 08 19:05:44 UTC 2025","passed","Mon Dec 08 19:05:46 UTC 2025","Registration and checking cases","integration/registration/registration.spec.ts","",""
"","6444","Moving tasks to next month free and paid type","","Mon Dec 08 19:05:35 UTC 2025","passed","Mon Dec 08 19:05:41 UTC 2025","Checklist","integration/checklist/checklist.spec.ts","",""
"","4362","Vacation request - reject-button","","Mon Dec 08 19:05:37 UTC 2025","passed","Mon Dec 08 19:05:42 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4673","Creating new task with free amount","","Mon Dec 08 19:05:23 UTC 2025","passed","Mon Dec 08 19:05:27 UTC 2025","Checklist","integration/checklist/checklist.spec.ts","",""
"","1678","Reset Password","","Mon Dec 08 19:05:43 UTC 2025","passed","Mon Dec 08 19:05:44 UTC 2025","Registration and checking cases","integration/registration/registration.spec.ts","",""
"","1870","Incorrect data","","Mon Dec 08 19:05:42 UTC 2025","passed","Mon Dec 08 19:05:44 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","4110","Creating new task with amount","","Mon Dec 08 19:05:28 UTC 2025","passed","Mon Dec 08 19:05:32 UTC 2025","Checklist","integration/checklist/checklist.spec.ts","",""
"","5059","Sick Leave request - approve-button","","Mon Dec 08 19:05:23 UTC 2025","passed","Mon Dec 08 19:05:28 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
"","1666","Sign In","","Mon Dec 08 19:05:41 UTC 2025","passed","Mon Dec 08 19:05:43 UTC 2025","Registration and checking cases","integration/registration/registration.spec.ts","",""
"","4726","Vacation request - approve-button","","Mon Dec 08 19:05:28 UTC 2025","passed","Mon Dec 08 19:05:33 UTC 2025","Leave Requests","integration/leaveRequests/leaveRequests.spec.ts","",""
