"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13687","POST /api/wishlists","api","Sat Sep 26 14:07:33 UTC 2026","passed","Sat Sep 26 14:07:47 UTC 2026","API security > authentication is enforced on every protected route","tests/api/security.spec.ts","",""
"","2482","rejects a service without costType","api","Sat Sep 26 14:08:29 UTC 2026","passed","Sat Sep 26 14:08:31 UTC 2026","Service tracker API","tests/api/services.spec.ts","",""
"","4479","updates yearly leave allowances","api","Sat Sep 26 14:09:31 UTC 2026","passed","Sat Sep 26 14:09:36 UTC 2026","Profile and settings API","tests/api/user.spec.ts","",""
"","3800","rejects a password shorter than 4 characters","api","Sat Sep 26 14:05:05 UTC 2026","passed","Sat Sep 26 14:05:08 UTC 2026","Auth API > password reset","tests/api/auth.spec.ts","",""
"","9777","""delete all"" removes every request of the user","api","Sat Sep 26 14:05:26 UTC 2026","passed","Sat Sep 26 14:05:35 UTC 2026","Leave requests API","tests/api/leave.spec.ts","",""
"","13090","POST /api/services","api","Sat Sep 26 14:06:31 UTC 2026","passed","Sat Sep 26 14:06:44 UTC 2026","API security > authentication is enforced on every protected route","tests/api/security.spec.ts","",""
"","18705","a paid task shows its price in EUR","webkit","Sat Sep 26 14:07:02 UTC 2026","passed","Sat Sep 26 14:07:20 UTC 2026","Checklist","tests/ui/tasks.spec.ts","",""
"","14285","POST /api/tasks/carryover","api","Sat Sep 26 14:07:25 UTC 2026","passed","Sat Sep 26 14:07:39 UTC 2026","API security > authentication is enforced on every protected route","tests/api/security.spec.ts","",""
"","11715","a new wish list gets its own tab","webkit","Sat Sep 26 14:07:43 UTC 2026","passed","Sat Sep 26 14:07:54 UTC 2026","Wish list","tests/ui/wishlist.spec.ts","",""
"","3394","renames a wish list","api","Sat Sep 26 14:09:50 UTC 2026","passed","Sat Sep 26 14:09:54 UTC 2026","Wish lists API","tests/api/wishlists.spec.ts","",""
"","16689","a user signs in and lands in the app","chromium","Sat Sep 26 14:05:47 UTC 2026","passed","Sat Sep 26 14:06:04 UTC 2026","Sign in","tests/ui/login.spec.ts","",""
"","25516","a vacation request is submitted as pending","webkit","Sat Sep 26 14:05:29 UTC 2026","passed","Sat Sep 26 14:05:54 UTC 2026","Leave requests","tests/ui/leave.spec.ts","",""
"","3291","a wish list needs a name","api","Sat Sep 26 14:09:47 UTC 2026","passed","Sat Sep 26 14:09:50 UTC 2026","Wish lists API","tests/api/wishlists.spec.ts","",""
"","11685","dates are required","firefox","Sat Sep 26 14:05:15 UTC 2026","passed","Sat Sep 26 14:05:27 UTC 2026","Leave requests","tests/ui/leave.spec.ts","",""
